question_text,question_topic
"Hi! If I sign up for your email list, can I select to get emails exclusively for sale products? I'm really only interested in shopping clearance deals.",Sales/Promotions
"I'm going to be out of the country for about a week, but before I travel I'm going to be getting the animal print jumper, product code T383434J. Can I have this held at the post office or a distribution centre for pickup? I'd just hate to have it sitting at my house when I'm not going to be around.",Shipping
"I was wondering if you'd be able to overnight a jacket (Item #5220032) to me in Trenton, NJ?",Shipping
"The Swingline electronic stapler (472555) looks really great, but I would need to have it shipped to St. Thomas in the US Virgin Islands. Do you allow for that, or is that considered ""international"" shipping?",Shipping
"I think this cosmetic bag would work great for me! However, do you know how long it would take to send that to me in Kings Mountain, NC (Zip: 28086)? I might need it in somewhat of a hurry, so I thought I'd check.",Shipping
"I'm going to be out of the state for about a week, but before I travel I'm going to be getting this wristlet, product code 58818. Can I have this held at the post office or a distribution center for pickup? I'd just hate to have it sitting at my house when I'm not going to be around.",Shipping
"I'm going to be out of the state for about a week, but before I travel I'm going to be getting the venetian ring, product code R12435D8RADI. Can I have this held at the post office or a distribution center for pickup? I'd just hate to have it sitting at my house when I'm not going to be around.",Shipping
"The Stanley Bostitch electronic stapler (63460) looks really great, but I would need to have it shipped to St. Thomas in the US Virgin Islands. Do you allow for that, or is that considered ""international"" shipping?",Shipping
"When is the estimated delivery date if I was to order this creatine powder- item number OP-7097/1482971 and have it sent to Burlington, VT?",Shipping
"I was wondering if you'd be able to overnight the this trench coat, item number 49185- size 4 to me in Trenton, NJ?",Shipping
"If I sign up for your email list, can I select to get emails exclusively for sale products? I'm really only interested in shopping clearance deals.",Sales/Promotions
"If I were to get this OMP driver footrest (mpn266569866), but it then goes on sale next week, would it be possible to be reimbursed the difference? I wasn't sure if you guys did that sort of thing.",Sales/Promotions
Do you have any promo codes I'd be able to use on a cocktail dress from your website?,Sales/Promotions
"I'm going to be out of the state for about a week, but before I travel I'm going to be getting the spa hoodie, product code 239320. Can I have this held at the post office or a distribution center for pickup? I'd just hate to have it sitting at my house when I'm not going to be around.",Shipping
What kind of discounts will I receive if I sign up for your e-mail list?,Sales/Promotions
What kind of discounts will I receive if I sign up for your e-mail list?,Sales/Promotions
What kind of discounts will I receive if I sign up for your e-mail list?,Sales/Promotions
Is there any way I can be notified through e-mail when you update clearance items or put things on sale?,Sales/Promotions
"I was wondering if you'd be able to overnight this desk item # 25E581A-Y3A to me in Trenton, NJ?",Shipping
"My friend's birthday is coming up, and I'd like to get him the Klein Tools Magnetic screwdriver set (100648026). I'd also have it sent right to him in Brownsburg, IN (Zip: 46112). Do you know how long it would take to get to him if I didn't do any expedited shipping or anything like that?",Shipping
"Would you be able to overnight these pajamas, item number AJ-360-053 to Chicago, IL by any chance if I were to order sometime today?",Shipping
"I was wondering if you'd be able to overnight a sweater (item #481393AG2) to me in Trenton, NJ?",Shipping
"I'm going to be out of the state for about a week, but before I travel I'm going to be getting the cool racerback II. Can I have this held at the post office or a distribution center for pickup? I'd just hate to have it sitting at my house when I'm not going to be around.",Shipping
Do you have any promo codes I'd be able to use in your sports and outdoors department?,Sales/Promotions
Do you have any promo codes I'd be able to use in your sports and outdoors department?,Sales/Promotions
"Hi! If I sign up for your email list, can I select to get emails exclusively for sale products? I'm really only interested in shopping clearance deals.",Sales/Promotions
What kind of discounts will I receive if I sign up for your e-mail list?,Sales/Promotions
"I was wondering if you'd be able to overnight the bonded satin jacket #117237116 to me in Trenton, NJ?",Shipping
"My friend's birthday is coming up, and I'd like to get him the Kobalt Hi-Vis screwdriver set (796856). I'd also have it sent right to him in Brownsburg, IN (Zip: 46112). Do you know how long it would take to get to him if I didn't do any expedited shipping or anything like that?",Shipping
"I'm looking to maybe order the Samsung Galaxy Tab S2 NOOK. If I order it today, what expedited shipping options would I have?",Shipping
"I'll probably end up ordering this Kat Von D lipstick set (1848449), which is pretty small. That being the case, would it be possible to have that shipped to my PO box? I'd prefer that if it's OK.",Shipping
"I'm going to be out of the state for about a week, but before I travel I'm going to be getting the iphone crossbody, product code 8aru1484. Can I have this held at the post office or a distribution center for pickup? I'd just hate to have it sitting at my house when I'm not going to be around.",Shipping
"Hi! If I sign up for your email list, can I select to get emails exclusively for sale products? I'm really only interested in shopping clearance deals.",Sales/Promotions
"I think this tote bag (618846) would work great for me! However, do you know how long it would take to send that to me in Kings Mountain, NC (Zip: 28086)? I might need it in somewhat of a hurry, so I thought I'd check.",Shipping
"I'm looking for men's cold weather gloves, do you have any available on your site? I'd probably need an XL for my boyfriend.",Product Availability
"Do you sell any simple women's beanie hats? I just want something really plain, in black or gray. I'm really not looking to spend more than like 15.",Product Availability
Does the Badge Faux Fur Collar Parka (item 907419) have a liner layer in it? How many pockets total are on this?,Product Specifications
What materialis the sole of the Newton Fate made of? The sku is 8813643. I'm looking for something that'll hold up to outdoor running and a lot of it!,Product Specifications
Do you know how much cholesterol is in the whey fuel (034574) has?,Product Specifications
I have been searching for a mid-century style coffee table in a blonde wood finish. Do you have anything like that?,Product Availability
I am looking for a kelp supplement. Do you have any?,Product Availability
What's the thickness of the band on the golden honeycomb ring (style R044G-6)? What's the plating on this?,Product Specifications
"Will the flavors in the jelly belly 40 flavor gift box (149961) be detailed on the box, so I know what's what?",Product Specifications
"Im interested in this take a deep breath moisturizer. What size jar does this come in? I use a lot of moisturizer in the winter, so I might need a bigger option.",Product Specifications
I'm looking for a pair of men's leather gloves. Do you have any in a small?,Product Availability
"Do you know what the temperature rating is for this wool blended peacoat, ASIN: B01JZIKK3E?",Product Specifications
Do you know how much cholesterol the Whey Pro Powder (Item #: 157722) has?,Product Specifications
"I really like the size and design of this cherry wood bookcase Item: 482969. However, I need more shelves. Do you have something that is similar to this piece, but with more sections on it?",Product Availability
What've you got in terms of white ballerina flats with your logo on them? I think these would be cute!,Product Availability
I have been searching for a mid-century style coffee table in a blonde wood finish. Do you have anything like that?,Product Availability
"Im interested in this sugar lip treatment lip balm, Item 1793785, but am looking for a lighter and more sheer color. Do you have any lip balms with a really sheer color?",Product Availability
Do you have any novels written by Ray Bradbury?,Product Availability
I have been searching for a mid-century style coffee table in a blonde wood finish. Do you have anything like that?,Product Availability
I'm looking for a men's crewneck sweatshirt. Do you have something in dark green and a size XL?,Product Availability
I'm looking for a pair of men's leather gloves. Do you have any in a small?,Product Availability
What've you got in terms of white ballerina flats with your logo on them? I think these would be cute!,Product Availability
"What materialis the sole of the skech-flex power alley, they're sku 8617118, made of? I'm looking for something for my husband that'll hold up to outdoor running and a lot of it!",Product Specifications
"Do you sell any simple women's beanie hats? I just want something really plain, in black or gray. I'm really not looking to spend more than like $15.",Product Availability
"Im interested in this electric start portable generator, Item # mpn1578780905. How long would I be able to run this unit without refueling it?",Product Specifications
I'm looking for a pair of women's leather gloves. Do you have any in a small?,Product Availability
"Im interested in this Visionaire Nuit Night moisturizer (3614270450037). What size jar does this come in? I use a lot of moisturizer in the winter, so I might need a bigger option.",Product Specifications
I am looking for a kelp supplement. Do you have any?,Product Availability
I'm looking for a pair of men's leather gloves. Do you have any in a small?,Product Availability
"Do you sell any simple women's beanie hats? I just want something really plain, in black or gray. I'm really not looking to spend more than like $15.",Product Availability
"What cigarette flavor does your signaure red flavor most compare to? If it's Marlboro Red, that's exactly what I'm looking for!",Product Specifications
"For these wireless noise cancelling headphones in black, no. V100NXTBLK, what kind of battery life am I going to get out of these?",Product Specifications
Do you know how much cholesterol the Whey & Quinoa Protein (NOG007) has?,Product Specifications
I'm looking for a pair of men's leather gloves. Do you have any in a small?,Product Availability
I'm looking for a pair of women's leather gloves. Do you have any in a small?,Product Availability
I have been searching for a mid-century style coffee table in a blonde wood finish. Do you have anything like that?,Product Availability
I'm looking for a pair of men's leather gloves. Do you have any in a small?,Product Availability
"The Firewire skewers, they're #5-3860277, look exactly like what Im looking for. However, do you have any wooden skewers? Sometimes I just want to throw the mess away instead of having to wash them.",Product Specifications
"The confetti ring with hematine, moon quartz, and diamonds (item R11875DSBIHEQODI) is so beautiful! Does this come with any colored stones at all? I'd love to see this design with red or green stones set into it.",Product Availability
I'm looking for a pair of men's leather gloves. Do you have any in a small?,Product Availability
"Do you have anything like this gas pressure washer, Internet #203177499, but in a smaller size? This may too much for me to handle.",Product Availability
